2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150,2160,2170,2180,2190,2200
0,139.78,288.91,488.89,710.06,999.7,1324.4,1696,2140.7,2636.4,3168.6,3327.7,3893.9,4537.9,5225.2,5873.3,6560.2,7315.1,8071.3,8789.7,9540.9
0,140.02,289.39,489.61,711.02,1000.9,1325.8,1697.6,2142.6,2638.6,3171,3330.3,3896.8,4541,5228.6,5876.9,6564.1,7319.2,8075.6,8794.3,9545.7
0,140.24,289.82,490.26,711.89,1002,1327.1,1699.2,2144.3,2640.6,3173.1,3332.7,3899.4,4543.9,5231.6,5880.2,6567.6,7322.9,8079.5,8798.4,9550
0,140.44,290.23,490.87,712.7,1003,1328.3,1700.6,2146,2642.4,3175.2,3334.9,3901.9,4546.5,5234.4,5883.2,6570.8,7326.4,8083.2,8802.2,9554.1
0,140.64,290.62,491.45,713.48,1004,1329.5,1701.9,2147.5,2644.1,3177.1,3337.1,3904.2,4549,5237.2,5886.1,6573.9,7329.7,8086.7,8805.9,9558
0,140.83,291,492.03,714.25,1004.9,1330.6,1703.3,2149.1,2645.9,3179,3339.2,3906.5,4551.5,5239.8,5889,6577,7332.9,8090.1,8809.6,9561.8
0,141.02,291.38,492.6,715.01,1005.9,1331.8,1704.6,2150.6,2647.6,3180.9,3341.3,3908.8,4554,5242.5,5891.9,6580,7336.2,8093.6,8813.2,9565.6
0,141.21,291.77,493.19,715.79,1006.9,1333,1706,2152.1,2649.3,3182.9,3343.4,3911.1,4556.5,5245.2,5894.8,6583.2,7339.5,8097.1,8816.9,9569.5
0,141.42,292.18,493.8,716.6,1007.9,1334.2,1707.4,2153.8,2651.2,3184.9,3345.7,3913.6,4559.2,5248.1,5897.9,6586.4,7342.9,8100.7,8820.8,9573.6
0,141.64,292.61,494.45,717.47,1009,1335.5,1708.9,2155.5,2653.1,3187.1,3348,3916.2,4562,5251.1,5901.1,6589.9,7346.6,8104.6,8824.9,9577.9
0,141.87,293.09,495.17,718.43,1010.2,1336.9,1710.6,2157.4,2655.3,3189.5,3350.7,3919,4565.1,5254.5,5904.7,6593.7,7350.7,8109,8829.4,9582.7
0,142.15,293.65,496,719.54,1011.6,1338.6,1712.5,2159.6,2657.8,3192.3,3353.7,3922.4,4568.7,5258.4,5908.9,6598.2,7355.4,8113.9,8834.7,9588.3
